Date,Open,High,Low,Close,Volume,None
2021-01-01T00:00:00+0530,7654.0,7748.5,7650.0,7691.3,767574,0
2021-01-04T00:00:00+0530,7739.0,7755.2,7642.6,7702.3,598645,0
2021-01-05T00:00:00+0530,7660.0,7673.0,7586.0,7655.45,562668,0
2021-01-06T00:00:00+0530,7654.0,7749.0,7555.5,7628.6,840678,0
2021-01-07T00:00:00+0530,7676.0,7704.4,7552.1,7566.05,642968,0
2021-01-08T00:00:00+0530,7600.0,8060.0,7600.0,8014.9,2557157,0
2021-01-11T00:00:00+0530,8099.0,8288.0,7882.4,8232.75,2182019,0
2021-01-12T00:00:00+0530,8161.0,8329.0,8140.0,8188.05,1514072,0
2021-01-13T00:00:00+0530,8188.0,8250.0,8111.0,8139.85,877225,0
2021-01-14T00:00:00+0530,8164.8,8180.0,8023.45,8149.45,718274,0
2021-01-15T00:00:00+0530,8157.15,8219.5,8000.05,8024.75,751177,0
2021-01-18T00:00:00+0530,8011.0,8023.95,7745.0,7830.65,771183,0
2021-01-19T00:00:00+0530,7900.0,7990.3,7835.0,7922.6,779892,0
2021-01-20T00:00:00+0530,7882.0,8170.0,7860.25,8144.95,999226,0
2021-01-21T00:00:00+0530,8205.0,8267.0,8021.45,8076.75,769494,0
2021-01-22T00:00:00+0530,8085.0,8308.0,8000.0,8048.85,1172914,0
2021-01-25T00:00:00+0530,8117.0,8164.7,7950.1,7981.5,753043,0
2021-01-27T00:00:00+0530,7992.95,8090.0,7820.5,7870.9,1080785,0
2021-01-28T00:00:00+0530,7840.0,7984.55,7562.0,7588.5,2085637,0
2021-01-29T00:00:00+0530,7685.0,7685.0,7170.0,7206.65,3069968,0
2021-02-01T00:00:00+0530,7265.2,7475.0,7152.0,7399.8,1611478,0
2021-02-02T00:00:00+0530,7534.9,7769.75,7490.15,7654.7,1700845,0
2021-02-03T00:00:00+0530,7680.0,7716.45,7475.85,7589.2,1491567,0
2021-02-04T00:00:00+0530,7600.0,7765.0,7529.05,7640.0,1198036,0
2021-02-05T00:00:00+0530,7680.0,7736.0,7461.0,7494.15,1128089,0
2021-02-08T00:00:00+0530,7515.0,7638.0,7474.5,7574.6,912372,0
2021-02-09T00:00:00+0530,7581.0,7680.0,7574.0,7627.05,925127,0
2021-02-10T00:00:00+0530,7605.2,7674.9,7506.05,7621.7,1015600,0
2021-02-11T00:00:00+0530,7600.0,7744.0,7567.65,7667.35,818869,0
2021-02-12T00:00:00+0530,7620.1,7675.0,7525.9,7568.5,756833,0
2021-02-15T00:00:00+0530,7600.0,7649.1,7580.0,7596.65,470093,0
2021-02-16T00:00:00+0530,7639.0,7799.0,7625.25,7697.05,1321126,0
2021-02-17T00:00:00+0530,7679.95,7691.5,7471.3,7503.2,1023548,0
2021-02-18T00:00:00+0530,7574.85,7579.05,7460.0,7497.55,821462,0
2021-02-19T00:00:00+0530,7448.0,7486.4,7285.0,7323.0,1013887,0
2021-02-22T00:00:00+0530,7323.0,7325.0,7056.0,7086.45,1502068,0
2021-02-23T00:00:00+0530,7118.8,7122.35,6938.0,6970.5,1589884,0
2021-02-24T00:00:00+0530,6905.0,7036.0,6877.5,6952.95,1225254,0
2021-02-25T00:00:00+0530,7065.0,7069.0,6915.0,6930.35,1740066,0
2021-02-26T00:00:00+0530,6900.0,7075.0,6822.2,6866.15,2687534,0
2021-03-01T00:00:00+0530,6977.0,7032.85,6917.05,7015.0,1417600,0
2021-03-02T00:00:00+0530,7060.0,7235.0,7030.0,7214.1,1395296,0
2021-03-03T00:00:00+0530,7245.6,7262.3,7101.2,7124.7,796258,0
2021-03-04T00:00:00+0530,7080.0,7175.2,7011.0,7131.6,906310,0
2021-03-05T00:00:00+0530,7130.0,7315.0,7070.0,7249.0,1821165,0
2021-03-08T00:00:00+0530,7264.9,7338.8,7216.0,7259.5,977572,0
2021-03-09T00:00:00+0530,7329.4,7329.4,7256.0,7301.55,678485,0
2021-03-10T00:00:00+0530,7320.0,7387.0,7251.0,7272.1,659270,0
2021-03-12T00:00:00+0530,7300.0,7313.0,7061.4,7096.2,946720,0
2021-03-15T00:00:00+0530,7145.0,7162.95,7011.0,7089.3,700309,0
2021-03-16T00:00:00+0530,7100.0,7200.0,7100.0,7150.3,796357,0
2021-03-17T00:00:00+0530,7160.0,7169.95,7043.5,7064.65,688581,0
2021-03-18T00:00:00+0530,7125.0,7242.0,7060.0,7113.75,984545,0
2021-03-19T00:00:00+0530,7059.95,7149.95,6905.5,7113.55,838756,0
2021-03-22T00:00:00+0530,7104.0,7142.5,7050.2,7101.25,533767,0
2021-03-23T00:00:00+0530,7138.0,7225.0,7130.0,7186.25,757590,0
2021-03-24T00:00:00+0530,7136.0,7158.4,7049.95,7066.2,457147,0
2021-03-25T00:00:00+0530,7050.0,7059.0,6755.25,6786.85,1338767,0
2021-03-26T00:00:00+0530,6889.0,6898.95,6771.0,6784.45,911299,0


